voltage,capacity,SoC
3.4762,22.9,1.056467983
3.4765,22.9,1.056467983
3.4765,23,1.06108138
3.4768,23,1.06108138
3.4771,23.1,1.065694778
3.4771,23.1,1.065694778
3.4774,23.1,1.065694778
3.4774,23.2,1.070308175
3.4778,23.2,1.070308175
3.4778,23.2,1.070308175
3.4781,23.3,1.074921572
3.4781,23.3,1.074921572
3.4784,23.3,1.074921572
3.4784,23.4,1.07953497
3.4787,23.4,1.07953497
3.479,23.5,1.084148367
3.479,23.5,1.084148367
3.4793,23.5,1.084148367
3.4793,23.6,1.088761764
3.4799,23.6,1.088761764
3.4799,23.6,1.088761764
3.4802,23.7,1.093375161
3.4802,23.7,1.093375161
3.4805,23.7,1.093375161
3.4805,23.8,1.097988559
3.4809,23.8,1.097988559
3.4809,23.9,1.102601956
3.4812,23.9,1.102601956
3.4812,23.9,1.102601956
3.4815,24,1.107215353
3.4815,24,1.107215353
3.4818,24,1.107215353
3.4821,24.1,1.111828751
3.4821,24.1,1.111828751
3.4824,24.1,1.111828751
3.4824,24.2,1.116442148
3.4827,24.2,1.116442148
3.4827,24.2,1.116442148
3.483,24.3,1.121055545
3.483,24.3,1.121055545
3.4833,24.4,1.125668943
3.4833,24.4,1.125668943
3.4836,24.4,1.125668943
3.4836,24.5,1.13028234
3.484,24.5,1.13028234
3.4843,24.5,1.13028234
3.4843,24.6,1.134895737
3.4846,24.6,1.134895737
3.4846,24.6,1.134895737
3.4849,24.7,1.139509135
3.4849,24.7,1.139509135
3.4852,24.8,1.144122532
3.4852,24.8,1.144122532
3.4855,24.8,1.144122532
3.4855,24.9,1.148735929
3.4858,24.9,1.148735929
3.4858,24.9,1.148735929
3.4861,25,1.153349326
3.4864,25,1.153349326
3.4864,25,1.153349326
3.4867,25.1,1.157962724
3.4867,25.1,1.157962724
3.4874,25.2,1.162576121
3.4874,25.2,1.162576121
3.4877,25.2,1.162576121
3.4877,25.3,1.167189518
3.488,25.3,1.167189518
3.488,25.3,1.167189518
3.4883,25.4,1.171802916
3.4883,25.4,1.171802916
3.4886,25.4,1.171802916
3.4886,25.5,1.176416313
3.4889,25.5,1.176416313
3.4889,25.5,1.176416313
3.4892,25.6,1.18102971
3.4892,25.6,1.18102971
3.4895,25.7,1.185643108
3.4895,25.7,1.185643108
3.4898,25.7,1.185643108
3.4898,25.8,1.190256505
3.4902,25.8,1.190256505
3.4902,25.8,1.190256505
3.4905,25.9,1.194869902
3.4905,25.9,1.194869902
3.4908,25.9,1.194869902
3.4911,26,1.1994833
3.4911,26,1.1994833
3.4914,26.1,1.204096697
3.4914,26.1,1.204096697
3.4917,26.1,1.204096697
3.4917,26.2,1.208710094
3.492,26.2,1.208710094
3.492,26.2,1.208710094
3.4923,26.3,1.213323491
3.4923,26.3,1.213323491
3.4926,26.3,1.213323491
3.4926,26.4,1.217936889
3.4926,26.4,1.217936889
3.4929,26.4,1.217936889
3.4929,26.5,1.222550286
3.4933,26.5,1.222550286
3.4933,26.6,1.227163683
3.4936,26.6,1.227163683
3.4936,26.6,1.227163683
3.4939,26.7,1.231777081
3.4945,26.7,1.231777081
3.4945,26.7,1.231777081
3.4948,26.8,1.236390478
3.4948,26.8,1.236390478
3.4951,26.8,1.236390478
3.4951,26.9,1.241003875
3.4954,26.9,1.241003875
3.4954,27,1.245617273
3.4957,27,1.245617273
3.4957,27,1.245617273
3.496,27.1,1.25023067
3.496,27.1,1.25023067
3.4964,27.1,1.25023067
3.4964,27.2,1.254844067
3.4964,27.2,1.254844067
3.4967,27.2,1.254844067
3.4967,27.3,1.259457464
3.497,27.3,1.259457464
3.4973,27.4,1.264070862
3.4973,27.4,1.264070862
3.4976,27.4,1.264070862
3.4976,27.5,1.268684259
3.4976,27.5,1.268684259
3.4979,27.5,1.268684259
3.4979,27.6,1.273297656
3.4982,27.6,1.273297656
3.4982,27.6,1.273297656
3.4985,27.7,1.277911054
3.4985,27.7,1.277911054
3.4988,27.7,1.277911054
3.4988,27.8,1.282524451
3.4991,27.8,1.282524451
3.4991,27.9,1.287137848
3.4995,27.9,1.287137848
3.4995,27.9,1.287137848
3.4998,28,1.291751246
3.4998,28,1.291751246
3.5001,28,1.291751246
3.5001,28.1,1.296364643
3.5004,28.1,1.296364643
3.5004,28.1,1.296364643
3.5007,28.2,1.30097804
3.5007,28.2,1.30097804
3.501,28.3,1.305591438
3.501,28.3,1.305591438
3.5016,28.3,1.305591438
3.5016,28.4,1.310204835
3.5019,28.4,1.310204835
3.5019,28.4,1.310204835
3.5022,28.5,1.314818232
3.5022,28.5,1.314818232
3.5026,28.5,1.314818232
3.5026,28.6,1.319431629
3.5029,28.6,1.319431629
3.5029,28.7,1.324045027
3.5032,28.7,1.324045027
3.5032,28.7,1.324045027
3.5032,28.8,1.328658424
3.5035,28.8,1.328658424
3.5035,28.8,1.328658424
3.5038,28.9,1.333271821
3.5038,28.9,1.333271821
3.5041,28.9,1.333271821
3.5041,29,1.337885219
3.5044,29,1.337885219
3.5044,29,1.337885219
3.5047,29.1,1.342498616
3.5047,29.1,1.342498616
3.505,29.2,1.347112013
3.505,29.2,1.347112013
3.5053,29.2,1.347112013
3.5053,29.3,1.351725411
3.5053,29.3,1.351725411
3.5057,29.3,1.351725411
3.506,29.4,1.356338808
3.506,29.4,1.356338808
3.506,29.4,1.356338808
3.5063,29.5,1.360952205
3.5063,29.5,1.360952205
3.5066,29.6,1.365565603
3.5066,29.6,1.365565603
3.5066,29.6,1.365565603
3.5069,29.7,1.370179
3.5069,29.7,1.370179
3.5072,29.7,1.370179
3.5072,29.8,1.374792397
3.5075,29.8,1.374792397
3.5075,29.8,1.374792397
3.5078,29.9,1.379405794
3.5078,29.9,1.379405794
3.5081,29.9,1.379405794
3.5081,30,1.384019192
3.5088,30,1.384019192
3.5088,30.1,1.388632589
3.5091,30.1,1.388632589
3.5091,30.1,1.388632589
3.5094,30.2,1.393245986
3.5094,30.2,1.393245986
3.5097,30.2,1.393245986
3.5097,30.3,1.397859384
3.51,30.3,1.397859384
3.51,30.3,1.397859384
3.5103,30.4,1.402472781
3.5103,30.4,1.402472781
3.5106,30.5,1.407086178
3.5106,30.5,1.407086178
3.5109,30.5,1.407086178
3.5109,30.6,1.411699576
3.5109,30.6,1.411699576
3.5112,30.6,1.411699576
3.5112,30.7,1.416312973
3.5115,30.7,1.416312973
3.5115,30.7,1.416312973
3.5119,30.8,1.42092637
3.5119,30.8,1.42092637
3.5119,30.9,1.425539767
3.5122,30.9,1.425539767
3.5122,30.9,1.425539767
3.5125,31,1.430153165
3.5125,31,1.430153165
3.5128,31,1.430153165
3.5128,31.1,1.434766562
3.5131,31.1,1.434766562
3.5131,31.1,1.434766562
3.5131,31.2,1.439379959
3.5134,31.2,1.439379959
3.5134,31.2,1.439379959
3.5137,31.3,1.443993357
3.5137,31.3,1.443993357
3.514,31.4,1.448606754
3.514,31.4,1.448606754
3.5143,31.4,1.448606754
3.5143,31.5,1.453220151
